Receipt_Location,Delivery_Location,Cycle,Start_Gas_Day,End_Gas_Day,Daily_Equivalent_FT,Load_Factor,Bid_Floor
East Hereford,Philipsburg,Timely,2020-11-01,9999-12-31,0.2802,295,0.8266
East Hereford,Spruce,Timely,2020-11-01,9999-12-31,1.2540,295,3.6993
East Hereford,St. Clair,Timely,2020-11-01,9999-12-31,0.6074,295,1.7918
East Hereford,TCPL NDA,Timely,2020-11-01,9999-12-31,0.6459,295,1.9054
East Hereford,TCPL WDA,Timely,2020-11-01,9999-12-31,0.9347,295,2.7574
East Hereford,TPLP NDA,Timely,2020-11-01,9999-12-31,0.7731,295,2.2806
East Hereford,Transgas SSDA,Timely,2020-11-01,9999-12-31,1.5317,295,4.5185
East Hereford,Union CDA,Timely,2020-11-01,9999-12-31,0.5148,295,1.5187
East Hereford,Union ECDA,Timely,2020-11-01,9999-12-31,0.4906,295,1.4473
East Hereford,Union EDA,Timely,2020-11-01,9999-12-31,0.3282,295,0.9682
East Hereford,Union NCDA,Timely,2020-11-01,9999-12-31,0.5234,295,1.5440
East Hereford,Union NDA,Timely,2020-11-01,9999-12-31,0.5675,295,1.6741
East Hereford,Union Parkway Belt,Timely,2020-11-01,9999-12-31,0.4849,295,1.4305
East Hereford,Union SSMDA,Timely,2020-11-01,9999-12-31,0.8931,295,2.6346
East Hereford,Union SWDA,Timely,2020-11-01,9999-12-31,0.5975,295,1.7626
East Hereford,Union WDA,Timely,2020-11-01,9999-12-31,1.0276,295,3.0314
East Hereford,Welwyn,Timely,2020-11-01,9999-12-31,1.4449,295,4.2625
Emerson 1,Centram MDA,Timely,2020-11-01,9999-12-31,0.1379,295,0.4068
Emerson 1,Centram SSDA,Timely,2020-11-01,9999-12-31,0.2574,295,0.7593
Emerson 1,Centrat MDA,Timely,2020-11-01,9999-12-31,0.1374,295,0.4053
Emerson 1,Chippawa,Timely,2020-11-01,9999-12-31,0.9239,295,2.7255
Emerson 1,Cornwall,Timely,2020-11-01,9999-12-31,1.0553,295,3.1131
Emerson 1,Dawn Export,Timely,2020-11-01,9999-12-31,0.7882,295,2.3252
Emerson 1,East Hereford,Timely,2020-11-01,9999-12-31,1.2150,295,3.5843
Emerson 1,Emerson 1,Timely,2020-11-01,9999-12-31,0.0743,295,0.2192
Emerson 1,Emerson 2,Timely,2020-11-01,9999-12-31,0.0743,295,0.2192
Emerson 1,Empress,Timely,2020-11-01,9999-12-31,0.5293,295,1.5614
Emerson 1,Enbridge CDA,Timely,2020-11-01,9999-12-31,0.9226,295,2.7217
Emerson 1,Enbridge EDA,Timely,2020-11-01,9999-12-31,1.0242,295,3.0214
Emerson 1,Enbridge Parkway CDA,Timely,2020-11-01,9999-12-31,0.8900,295,2.6255
Emerson 1,Enbridge SWDA,Timely,2020-11-01,9999-12-31,0.7882,295,2.3252
Emerson 1,Energir EDA,Timely,2020-11-01,9999-12-31,1.1311,295,3.3367
Emerson 1,Energir NDA,Timely,2020-11-01,9999-12-31,0.7862,295,2.3193
Emerson 1,Iroquois,Timely,2020-11-01,9999-12-31,1.0404,295,3.0692
Emerson 1,KPUC EDA,Timely,2020-11-01,9999-12-31,1.0263,295,3.0276
Emerson 1,Kirkwall,Timely,2020-11-01,9999-12-31,0.8728,295,2.5748
Emerson 1,Napierville,Timely,2020-11-01,9999-12-31,1.1242,295,3.3164
Emerson 1,Niagara Falls,Timely,2020-11-01,9999-12-31,0.9228,295,2.7223
Emerson 1,North Bay Junction,Timely,2020-11-01,9999-12-31,0.8397,295,2.4771
Emerson 1,Philipsburg,Timely,2020-11-01,9999-12-31,1.1320,295,3.3394
Emerson 1,Spruce,Timely,2020-11-01,9999-12-31,0.1374,295,0.4053
Emerson 1,St. Clair,Timely,2020-11-01,9999-12-31,0.7707,295,2.2736
Emerson 1,TCPL NDA,Timely,2020-11-01,9999-12-31,0.6909,295,2.0382
Emerson 1,TCPL WDA,Timely,2020-11-01,9999-12-31,0.4281,295,1.2629
Emerson 1,TPLP NDA,Timely,2020-11-01,9999-12-31,0.5751,295,1.6965
Emerson 1,Transgas SSDA,Timely,2020-11-01,9999-12-31,0.3365,295,0.9927
Emerson 1,Union CDA,Timely,2020-11-01,9999-12-31,0.8875,295,2.6181
Emerson 1,Union ECDA,Timely,2020-11-01,9999-12-31,0.8951,295,2.6405
Emerson 1,Union EDA,Timely,2020-11-01,9999-12-31,1.0215,295,3.0134
Emerson 1,Union NCDA,Timely,2020-11-01,9999-12-31,0.9257,295,2.7308
Emerson 1,Union NDA,Timely,2020-11-01,9999-12-31,0.7626,295,2.2497
